sample_id,category,bvid,aid,page_url,canonical_bv_url,part_index,title,content_origin_platform,source_duration_seconds,pretrim_start_seconds,pretrim_end_seconds,pretrim_requested_duration_seconds,pretrim_effective_end_from_reported_duration_seconds,pretrim_effective_duration_from_reported_duration_seconds,num_tasks
AA0001,多人PK,BV11Co6BeEZ2,116474228244654,https://www.bilibili.com/video/av116474228244654,https://www.bilibili.com/video/BV11Co6BeEZ2,1,4.26 小夜 生日会（拆礼物没录）,douyin,2830,420,1680,1260,1680,1260,3
AA0002,多人PK,BV11jdbB8EiK,116412504939511,https://www.bilibili.com/video/av116412504939511,https://www.bilibili.com/video/BV11jdbB8EiK,1,姐妹局 连麦惩罚全过程,douyin,1866,600,1200,600,1200,600,3
AA0003,多人PK,BV125oqBoE1T,116472483482448,https://www.bilibili.com/video/av116472483482448,https://www.bilibili.com/video/BV125oqBoE1T,1,外星人zqz#朱庆哲绽放季地区总决赛直播录屏4-26（晚P3）,douyin,7330,3600,5400,1800,5400,1800,4
AA0004,多人PK,BV12NtfzwEaG,115016170801853,https://www.bilibili.com/video/av115016170801853,https://www.bilibili.com/video/BV12NtfzwEaG,1,T.阿布ᴮᵁ—––个播录屏 25.08.11 聊天 打野 连麦pk 活动守塔,douyin,14391,0,1800,1800,1800,1800,3
AA0005,多人PK,BV12gR9YMELz,114283090416731,https://www.bilibili.com/video/av114283090416731,https://www.bilibili.com/video/BV12gR9YMELz,1,【菠萝咕噜肉】打野遇到一个美女，菠萝咕噜肉、冰糖双人PK连麦直播录屏cut2025.4.4,douyin,888,0,888,888,888,888,2
AA0006,多人PK,BV12ko6BNEG3,116474580568788,https://www.bilibili.com/video/av116474580568788,https://www.bilibili.com/video/BV12ko6BNEG3,1,1234886直播回放2026年4月25日,douyin,2634,420,1620,1200,1620,1200,2
AA0007,多人PK,BV1396iBWE4v,115984450984529,https://www.bilibili.com/video/av115984450984529,https://www.bilibili.com/video/BV1396iBWE4v,1,TK海外娱乐直播大型PK现场，对标拆解后能分析出跟DY的PK有什么不同吗,douyin,1193,0,900,900,900,900,3
AA0008,多人PK,BV13HrABcEyv,115862514242719,https://www.bilibili.com/video/av115862514242719,https://www.bilibili.com/video/BV13HrABcEyv,1,安全感满满的两把pk家长来了,douyin,1357,120,1357,1237,1357,1237,4
AA0009,多人PK,BV13QAWz2ESS,116262734727743,https://www.bilibili.com/video/av116262734727743,https://www.bilibili.com/video/BV13QAWz2ESS,1,世纪大战｜鲸鱼视角：小软大哥冲了4000w，医药费每人30w，鲸鱼，狼行，JY，小郭，皮皮朱，三斤，小软日记，,douyin,3465,420,2340,1920,2340,1920,4
AA0010,多人PK,BV13aZcBeEFa,116469883142712,https://www.bilibili.com/video/av116469883142712,https://www.bilibili.com/video/BV13aZcBeEFa,1,【牛肉干干】&迪士尼2v2pk|20260426直播绽放多元季决赛日|中午场完成京颜一的超越后也未能下播|误闯天家|迪姐直接预约28号中午一打三,douyin,1429,120,1380,1260,1380,1260,3
AA0011,多人PK,BV143NnzPEYb,114705305701071,https://www.bilibili.com/video/av114705305701071,https://www.bilibili.com/video/BV143NnzPEYb,1,陈俏俏250618晚9人PK局1,douyin,7216,360,3060,2700,3060,2700,3
AA0012,多人PK,BV14UdLBcEHs,116420960586273,https://www.bilibili.com/video/av116420960586273,https://www.bilibili.com/video/BV14UdLBcEHs,1,4.17直播  元软六恩 IP局 心满意足的大王 小软二分钟上巅峰王者第一 又吃上软饭了,douyin,2007,360,1500,1140,1500,1140,4
AA0013,多人PK,BV14uocBsEkt,116433308614886,https://www.bilibili.com/video/av116433308614886,https://www.bilibili.com/video/BV14uocBsEkt,1,阳兵卓朱小雪连线2026.4.19直播录屏,douyin,2888,360,1800,1440,1800,1440,1
AA0014,多人PK,BV15qovBPEG6,116471409675244,https://www.bilibili.com/video/av116471409675244,https://www.bilibili.com/video/BV15qovBPEG6,1,4.26直播  元崔水 VS 姜贰七（上）总榜  元元首翻近百万 全场最高分,douyin,1588,300,1140,840,1140,840,4
AA0015,多人PK,BV163DyBnE6X,116387104162350,https://www.bilibili.com/video/av116387104162350,https://www.bilibili.com/video/BV163DyBnE6X,1,【鲸鱼vs迪士尼】20260411直播连麦PK,douyin,4948,0,1800,1800,1800,1800,4
AA0016,多人PK,BV168oqB2Ee3,116472114387010,https://www.bilibili.com/video/av116472114387010,https://www.bilibili.com/video/BV168oqB2Ee3,1,三斤.（9237）26.4.27直播录屏（午夜）,douyin,3632,300,2400,2100,2400,2100,3
AA0017,多人PK,BV16KofBkEr8,116469530692490,https://www.bilibili.com/video/av116469530692490,https://www.bilibili.com/video/BV16KofBkEr8,1,260425PK局 (4),douyin,2940,600,2580,1980,2580,1980,3
AA0018,多人PK,BV16P2sBSE7x,115671455308340,https://www.bilibili.com/video/av115671455308340,https://www.bilibili.com/video/BV16P2sBSE7x,1,12.3-12.4凌晨 女人局录屏 金哥爱吃肉 才才 懿中人 麦乐鸡 张北海 宰熊pk惩罚 节目效果炸裂,douyin,1734,420,1734,1314,1734,1314,4
AA0019,多人PK,BV16coRB8EFx,116465772593238,https://www.bilibili.com/video/av116465772593238,https://www.bilibili.com/video/BV16coRB8EFx,1,4.25直播 公会赛T点众人火力强劲 被包围的元元 80W分依旧垫底  大王：等打完比赛一一清算  化悲愤为食欲,douyin,1579,600,1320,720,1320,720,3
AA0020,多人PK,BV17edQB7Ecz,116443240857703,https://www.bilibili.com/video/av116443240857703,https://www.bilibili.com/video/BV17edQB7Ecz,1,4.21直播 元龙姜 VS 控盛铭（一）总榜 四人上百万 小劣势败北 被先下一城,douyin,2043,240,1500,1260,1500,1260,4
AA0021,多人PK,BV17o4y1A7RH,400729880,https://www.bilibili.com/video/av400729880,https://www.bilibili.com/video/BV17o4y1A7RH,1,肘姐四人PK（肘姐：你们能不能别叫了，很聒噪）,douyin,387,0,387,387,387,387,4
AA0022,多人PK,BV183oqBfEK1,116472315647279,https://www.bilibili.com/video/av116472315647279,https://www.bilibili.com/video/BV183oqBfEK1,1,4.26断屏前,douyin,9717,2700,5400,2700,5400,2700,3
AA0023,多人PK,BV18DoqBAEJP,116472164713589,https://www.bilibili.com/video/av116472164713589,https://www.bilibili.com/video/BV18DoqBAEJP,1,共3p4.26-27萨满巅峰赛超燃听潮pk,douyin,13686,10986,13686,2700,13686,2700,4
